ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
HKG-SOU,HKG,SOU,B,36,Southeast Asia,100,52,China - Southern,UK,5697.472273,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,76,41,China - Southern,UK,5813.004958,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,104,104,Australia - New South Wales,Singapore,3587.61982,2
DXB-SOU,DXB,SOU,B,19,Middle East,34,,UAE,UK,1662.669135,2
SFO-AKL,SFO,AKL,I,16,South Pacific,6,,USA - West Coast,New Zealand,671.9650515,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,71,,USA - West Coast,China - Southern,6753.756441,2
SFO-SYD,SFO,SYD,B,20,South Pacific,41,,USA - West Coast,Australia - New South Wales,3099.615701,2
SFO-SYD,SFO,SYD,O,20,South Pacific,50,14,USA - West Coast,Australia - New South Wales,2684.004138,2
SIN-SOU,SIN,SOU,I,30,Southern Asia,103,,Singapore,UK,6223.701901,1
SIN-SOU,SIN,SOU,B,30,Southern Asia,46,,Singapore,UK,5473.411376,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,29,26,Australia - New South Wales,Singapore,2055.57777,2
SOU-SYD,SOU,SYD,B,44,West Bound,37,,UK,Australia - New South Wales,3037.736211,2
AKL-SIN,AKL,SIN,B,29,Southeast Asia,75,,New Zealand,Singapore,4893.101485,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,81,,New Zealand,UK,9638.268364,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,40,39,New Zealand,UK,6717.563317,2
SOU-AKL,SOU,AKL,B,40,West Bound,66,66,UK,New Zealand,6527.053224,2
SOU-SYD,SOU,SYD,O,44,West Bound,34,32,UK,Australia - New South Wales,5479.57052,2
SOU-SYD,SOU,SYD,S,44,West Bound,32,,UK,Australia - New South Wales,10562.88705,2
SOU-SYD,SOU,SYD,B,44,West Bound,45,,UK,Australia - New South Wales,7173.062214,2
AKL-SYD,AKL,SYD,B,4,New Zealand,104,104,New Zealand,Australia - New South Wales,858.801385,1
SOU-SOU,SOU,SOU,I,99,West Bound,80,,UK,UK,7909.629388,2
DXB-SOU,DXB,SOU,B,19,Middle East,12,,UAE,UK,1412.000033,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,65,,USA - West Coast,China - Southern,6692.302574,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,49,USA - West Coast,Australia - New South Wales,3664.040422,2
AKL-SYD,AKL,SYD,O,4,New Zealand,20,,New Zealand,Australia - New South Wales,464.3490542,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,16,14,Australia - New South Wales,Australia - Queensland,363.5616223,2
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,15623.36988,2
SOU-SOU,SOU,SOU,O,99,West Bound,51,,UK,UK,11414.764,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,13,,Australia - New South Wales,China - Southern,1668.710005,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,8,,UK,USA - West Coast,3410.044003,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,10,,UK,USA - West Coast,1694.241623,2
BNE-SOU,BNE,SOU,O,52,Southeast Asia,38,,Australia - Queensland,UK,8125.363765,2
SFO-SYD,SFO,SYD,B,20,South Pacific,16,,USA - West Coast,Australia - New South Wales,2638.784217,2
SFO-SYD,SFO,SYD,O,20,South Pacific,48,,USA - West Coast,Australia - New South Wales,2810.037931,2
SOU-SOU,SOU,SOU,B,99,West Bound,36,,UK,UK,14853.63275,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,12,,Australia - New South Wales,China - Southern,1462.54724,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,16,,Australia - New South Wales,China - Southern,1614.50045,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,58,57,Australia - New South Wales,Singapore,4883.258194,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,0,,UK,USA - West Coast,,2
SOU-SOU,SOU,SOU,B,99,West Bound,91,91,UK,UK,15041.93544,2
AKL-SYD,AKL,SYD,I,4,New Zealand,23,22,New Zealand,Australia - New South Wales,377.5724242,2
AKL-SYD,AKL,SYD,B,4,New Zealand,14,13,New Zealand,Australia - New South Wales,415.7610495,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,57,,Australia - New South Wales,UK,7797.227015,2
SOU-SOU,SOU,SOU,B,99,West Bound,42,,UK,UK,16709.47369,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,42,,Australia - New South Wales,Singapore,3341.850486,2
SOU-SOU,SOU,SOU,B,99,West Bound,63,18,UK,UK,13079.95908,2
SOU-SOU,SOU,SOU,O,99,West Bound,60,,UK,UK,11750.12475,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,77,,China - Southern,UK,6492.2493,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,68,,Singapore,UAE,1802.082514,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,15,13,Australia - New South Wales,UK,10350.66158,1
SYD-SOU,SYD,SOU,I,55,Southeast Asia,11,,Australia - New South Wales,UK,4239.922659,2
SOU-SYD,SOU,SYD,B,44,West Bound,53,52,UK,Australia - New South Wales,8755.497363,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,7404.86505,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,16,13,Australia - New South Wales,Singapore,1690.134274,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,55,55,Australia - New South Wales,Singapore,3254.834425,2
SOU-SOU,SOU,SOU,B,99,West Bound,68,,UK,UK,25769.23765,1
SOU-SOU,SOU,SOU,B,99,West Bound,50,43,UK,UK,13810.10715,2
SOU-SOU,SOU,SOU,O,99,West Bound,35,16,UK,UK,10976.03545,2
SOU-SOU,SOU,SOU,B,99,West Bound,35,,UK,UK,18204.87423,2
SIN-DXB,SIN,DXB,I,11,Southern Asia,42,31,Singapore,UAE,2349.633934,1
SIN-SOU,SIN,SOU,B,30,Southern Asia,61,,Singapore,UK,6513.728892,1
DXB-SOU,DXB,SOU,O,19,Middle East,104,29,UAE,UK,3381.634562,1
SYD-SOU,SYD,SOU,I,55,Southeast Asia,35,,Australia - New South Wales,UK,8453.595624,1
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,10,9,Australia - Queensland,China - Southern,2138.439525,1
SOU-SYD,SOU,SYD,I,44,West Bound,35,,UK,Australia - New South Wales,3117.583147,2
